# count	conf	archetype	colorL	name
198	medium	brown-malt	90.4	New Zealand - Brown Malt
194	low	base-pale	3	United Kingdom - Mild
194	high	sugar	1	Briess - Dextrose
191	high	adjunct	0	Blueberry
190	high	base-pale	2.5	Viking - Pale Ale Malt
186	high	chocolate-malt	456.9	New Zealand - Light Chocolate Malt
184	high	pilsner	2	German - Floor-Malted Bohemian Wheat
184	high	base-pale	2	Avangard - Pale 2 Row
183	high	torrified-wheat	3	Crisp Malting - Torrefied Wheat
182	high	flaked-oats	1.4	New Zealand - Rolled Oats
181	high	crystal-dark	338.8	German - De-Husked Caraf I
176	high	extract	10	Briess - DME Sparkling Amber
173	high	roasted-barley	736	New Zealand - Roast Barley
172	high	maris-otter	2.4	Simpsons - Golden Promise
170	high	black-malt	500	Briess - Black Malt - 2-Row
169	high	crystal-light	20	Briess - Caramel Malt - 20L
168	high	wheat-malt	2	Briess - White Wheat Raw
166	high	extract	3	Briess - LME Bavarian Wheat
165	high	lauter	0	Briess - Rice Hulls
162	low	base-pale	2	American - Buckwheat Malt - Gluten Free
161	high	maris-otter	1.8	Simpsons - Maris Otter Extra Pale
160	high	honey-sugar	2	Honey 
160	high	adjunct	0	Raspberry
159	high	crystal-dark	113	Finland - Crystal Malt 300
159	high	adjunct	0	Pumpkin (fresh)
157	low	base-pale	3.6	German - Kölsch
157	high	smoked-malt	5	Briess - Cherry Wood Smoked Malt
157	high	maris-otter	2.5	Bairds - Maris Otter Pale Ale
155	low	base-pale	5.3	Briess - Ashbourne Mild
155	high	base-pale	3.4	Castle Malting - Château Pale Ale
151	high	flaked-rice	1	Briess - Rice, Flaked
150	high	munich-dark	32	Canadian - Munich Dark
150	high	adjunct	0	Strawberry
150	high	crystal-light	10	Briess - Caramel Malt - 10L
150	high	crystal-light	10	Weyermann - Carahell
148	medium	biscuit-malt	19	Finland - Cookie Malt
145	high	base-pale	2	2-Row Malt
144	high	pilsner	1.9	Viking - Pilsner Malt
142	high	crystal-medium	45.1	Crisp Malting - Crystal Light - 45L
141	high	torrified-wheat	1.5	Briess - Brewers Torrified Wheat
140	high	base-pale	2.1	Pale Malt (2 Row) US
137	high	roasted-barley	335.4	Roasted Barley
137	high	adjunct	0	Peach
137	high	adjunct	0	Cherry
136	high	honey-sugar	2	Honey (Buckwheat)
133	high	adjunct	0	Pineapple
133	high	crystal-medium	60	Briess - Caramel Munich 60L
132	medium	dark-candi-syrup	60	Belgian Candi Sugar - Amber/Brown
132	medium	munich-dark	29.4	New Zealand - Aurora Malt
131	high	extract	30	Briess - DME Traditional Dark
131	high	pilsner	1.9	Bestmalz - BEST Pilsen
130	low	base-pale	2	New Zealand - Sour Grapes Malt
128	high	crystal-light	15	United Kingdom - Carastan Light (15L)
126	medium	dark-candi-syrup	60	Soft Candi Sugar - Brown
126	high	rye-malt	3	New Zealand - Malted Rye
124	high	sugar	0.5	Corn Sugar - Dextrose 
124	low	base-pale	5.5	Torrified Barley
124	high	flaked-oats	1	Oats, Flaked
124	low	base-pale	2	Ireland - Stout Malt
124	high	crystal-medium	77	Crisp Malting - Crystal Dark - 77L
123	medium	dark-candi-syrup	275	Belgian Candi Sugar - Dark
123	high	pilsner	1.9	Castle Malting - Château Pilsen 2RS
